0,Published,Link,Title,Snippet
14,2020-07-31T19:07:02Z,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shekhar-suman-joins-clamour-for-cbi-probe-in-sushant-singh-rajput-case/articleshow/77288783.cms,Shekhar Suman meets Maha Governor Bhagat Singh Koshyari; demands for CBI probe in Sushant Singh Rajput case,"Bollywood actor Shekhar Suman on Friday called on Maharashtra Governor Bhagat Singh Koshyari and demanded a CBI probe into the suicide of actor Sushant Singh Rajput, officials said here."
15,2020-07-31T17:36:40Z,https://timesofindia.indiatimes.com/india/congress-shifts-rajasthan-mlas-to-jaisalmer-hotel-bjp-takes-a-dig/articleshow/77288959.cms,Congress shifts Rajasthan MLAs to Jaisalmer hotel; BJP takes a dig,"Fearing ""horse-trading"" ahead of the assembly session, the Rajasthan Congress on Friday shifted the party MLAs to Jaisalmer from Jaipur where they had been staying at a hotel for over a fortnight. Targeting the Congress and the chief minister, the BJP asked why the party has no trust in its MLAs."
16,2020-07-31T16:34:30Z,https://timesofindia.indiatimes.com/city/indore/cong-bjp-trade-charges-on-dewas-self-immolation-incident/articleshow/77289292.cms,Cong-BJP trade charges on Dewas self-immolation incident,The self-immolation by a woman during an anti-encroachment drive and subsequent attack on revenue officers in Dewas district of MP evolved into a political row with Congress accusing BJP of harassing the farmers and the ruling party accusing the opposition of misleading the people.
17,2020-07-31T16:12:23Z,https://timesofindia.indiatimes.com/city/bengaluru/karnakata-yediyurappas-scion-second-son-vijayendra-one-among-10-state-bjp-v-ps/articleshow/77288705.cms,"Karnataka: Yediyurappa’s scion, second son, Vijayendra one among 10 state BJP V-Ps","In what seems to be a mix and match of both the internal factions of chief minister B S Yediyurappa and BJP national general secretary B L Santosh, as many as 10 party vice-presidents and 10 general secretaries have been appointed by the BJP state president Nalin Kumar Kateel."
18,2020-07-31T15:17:35Z,https://timesofindia.indiatimes.com/city/agra/postpone-amu-exam-and-online-classes-on-august-5-in-view-of-ram-mandir-ceremony-says-local-bjp-mlas-grandson/articleshow/77287940.cms,"Postpone AMU exam and online classes on August 5 in view of Ram mandir ceremony, says local BJP MLAs grandson",
19,2020-07-31T12:55:33Z,https://timesofindia.indiatimes.com/india/bjp-sends-legal-notice-to-siddaramaiah-and-d-k-shivakumar/articleshow/77284687.cms,BJP sends legal notice to Siddaramaiah and D K Shivakumar,"The BJP's Karnataka unit on Friday said it has sent legal notice to the leader of opposition Siddaramaiah and state Congress chief D K Shivakumar for their ""baseless"" allegations of corruption in the procurement of Covid-19 equipment and supplies. The party has demanded public apology from the two leaders, failing which they have been threatened with legal action."
20,2020-07-31T12:52:31Z,https://timesofindia.indiatimes.com/india/mayawati-making-statements-at-bjps-behest-and-under-compulsion-ashok-gehlot/articleshow/77283809.cms,Mayawati making statements at BJP's behest and 'under compulsion': Ashok Gehlot,"Ashok Gehlot on Friday alleged that BSP chief Mayawati is making statements over her party MLAs' merger with Congress at the behest of BJP and under ""compulsion"" due to fear of misuse of probe agencies. Gehlot also targeted the BJP whose MLA in Rajasthan has filed a petition in court against assembly speaker's decision concerning the merger of six BSP MLAs in Congress."
21,2020-07-31T09:45:05Z,https://timesofindia.indiatimes.com/city/bhopal/mp-no-link-to-controversial-posters-its-bjp-plot-say-congress-young-turks/articleshow/77281269.cms,"MP: No link to controversial posters, it’s BJP plot, say Congress young turks","Congress’ gen-next leaders from MP — former ministers Jitu Patwari and Jaivardhan Singh and the lone MP, Nakul Nath — on Thursday denied any connection with controversial posters that have appeared in their names in the past few days, suggesting that each of them sees himself as the next leader of the state party unit."
22,2020-07-31T08:10:05Z,https://timesofindia.indiatimes.com/city/jaipur/video-of-speaker-cms-son-goes-viral-bjp-demands-joshi-to-quit/articleshow/77272292.cms,"Rajasthan: Video of Speaker, CM's son goes viral, BJP demands Joshi to quit","A video of a conversation between Speaker C P Joshi and CM Ashok Gehlot's son Vaibhav has gone viral in which Joshi was heard talking about a close shave of the govt. The speaker was heard saying that if 30 MLAs had gone, the situation would have been tough. The video was shot at Joshi’s residence when Vaibhav Gehlot went to wish him on his birthday on Wednesday."
23,2020-07-31T07:15:50Z,https://timesofindia.indiatimes.com/city/guwahati/assam-bjp-welcomes-nep-while-congress-oppose-it/articleshow/77278575.cms,Assam BJP welcomes NEP while Congress oppose it,
24,2020-07-31T06:29:22Z,https://timesofindia.indiatimes.com/india/shiv-pratap-shukla-named-rajya-sabha-ethics-committee-chairman/articleshow/77277648.cms,Shiv Pratap Shukla named Rajya Sabha ethics committee chairman,
25,2020-07-31T05:44:04Z,https://timesofindia.indiatimes.com/city/pune/elderly-man-loses-rs-1-lakh-to-noble-cause-ploy/articleshow/77272069.cms,Pune: Elderly man loses Rs 1 lakh to ‘noble’ cause ploy,
26,2020-07-31T05:27:01Z,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-government-selects-14-districts-for-pre-recruitment-training-of-police-constables/articleshow/77276761.cms,Maharashtra government selects 14 districts for pre-recruitment training of police constables,
27,2020-07-31T05:04:56Z,https://timesofindia.indiatimes.com/home/education/news/assam-bjp-welcomes-nep-while-congress-oppose-it/articleshow/77276455.cms,Assam BJP welcomes NEP while Congress oppose it,
28,2020-07-31T02:35:45Z,https://timesofindia.indiatimes.com/city/delhi/delhi-aap-bjp-spar-over-funds-for-cow-shelters/articleshow/77274483.cms,"Delhi: AAP, BJP spar over funds for cow shelters",The BJP-led corporations were on Thursday accused by AAP for siphoning off funds allocated by Delhi government for maintenance of gaushalas (cow shelters).
29,2020-07-31T01:49:49Z,https://timesofindia.indiatimes.com/city/kochi/customs-officer-moved-to-nagpur/articleshow/77270103.cms,Thiruvananthapuram gold smuggling case: Customs officer moved to Nagpur,"Aneish P Rajan, a joint commissioner of customs, against whom state BJP leaders had made allegations of having Left political links has been transferred to Nagpur."
30,2020-07-31T00:30:00Z,https://timesofindia.indiatimes.com/city/kolkata/mha-talks-invite-strains-bjp-alliance-in-hills/articleshow/77272133.cms,MHA talks invite strains BJP alliance in Hills,
31,2020-07-31T00:12:53Z,https://timesofindia.indiatimes.com/india/saffron-outfits-celebrate-focus-on-indian-culture/articleshow/77273752.cms,Saffron outfits celebrate focus on Indian culture,
32,2020-07-30T22:51:00Z,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-cong-demands-fir-against-state-bjp-chief-for-violating-social-distancing-norms/articleshow/77269520.cms,Uttarakhand Cong demands FIR against state BJP chief for ‘violating’ social distancing norms,
33,2020-07-30T19:20:04Z,https://timesofindia.indiatimes.com/city/delhi/delhi-bjp-to-install-big-screens-across-city-for-live-telecast-of-ram-temple-bhumi-pujan/articleshow/77268543.cms,Delhi BJP to install big screens across city for live telecast of Ram temple 'bhumi pujan',"The Delhi BJP president said Prime Minister Narendra Modi will be present during the 'Bhumi Pujan' ceremony in Ayodhya and it will be a ""historic"" occasion."
34,2020-07-30T18:15:37Z,https://timesofindia.indiatimes.com/india/bjp-mlc-claims-kumaraswamy-shivakumar-indulging-in-adjustment-politics/articleshow/77269477.cms,"BJP MLC claims Kumaraswamy, Shivakumar indulging in 'adjustment politics'","Newly nominated MLC and BJP leader C P Yogeshwar on Thursday claimed top leaders of JD(S) and Congress were indirectly supporting the state government and were indulging in ""adjustment politics""."
35,2020-07-30T17:02:43Z,https://timesofindia.indiatimes.com/india/ec-responds-to-prithviraj-chavans-allegations-says-bjp-linked-firm-was-selected-by-dgipr/articleshow/77268137.cms,"EC responds to Prithviraj Chavan's allegations, says 'BJP-linked' firm was selected by DGIPR",
36,2020-07-30T16:11:13Z,https://timesofindia.indiatimes.com/india/congress-holds-protest-march-to-raj-bhavan-says-bjp-abusing-constitutions-to-topple-rajasthan-govt/articleshow/77267347.cms,"Congress holds protest March to Raj Bhavan, says BJP abusing constitutions to topple Rajasthan govt",The Congress party walked in protest towards Raj Bhavan on Thursday to protest against the BJP’s use of constitutional authorities and “nefarious means” to topple Congress-ruled state governments. The party’s state leadership met with Goa governor Satya Pal Malik and submitted a memorandum asking president Ram Nath Kovind to ensure that Constitutional provisions are upheld.
37,2020-07-30T15:20:28Z,https://timesofindia.indiatimes.com/india/cong-resorting-to-tantra-mantra-to-grab-power-in-mp-alleges-bjp/articleshow/77266450.cms,"Cong resorting to `tantra mantra' to grab power in MP, alleges BJP",
38,2020-07-30T12:41:52Z,https://timesofindia.indiatimes.com/india/rajasthan-congress-mlas-will-camp-together-till-assembly-session-says-chief-whip/articleshow/77263156.cms,"Rajasthan Congress MLAs will camp together till assembly session, says chief whip",
39,2020-07-30T12:24:01Z,https://timesofindia.indiatimes.com/india/triple-talaq-law-contributed-to-woman-empowerment-javadekar/articleshow/77262812.cms,Triple talaq law contributed to woman empowerment: Javadekar,
